Epoch 14 Step 400/506  loss=0.006780  lr=1.206e-03
Epoch 14 Step 420/506  loss=0.006776  lr=1.192e-03
Epoch 14 Step 440/506  loss=0.006778  lr=1.178e-03
Epoch 14 Step 460/506  loss=0.006771  lr=1.164e-03
Epoch 14 Step 480/506  loss=0.006763  lr=1.150e-03
Epoch 14 Step 500/506  loss=0.006764  lr=1.137e-03
Epoch 14 completed in 638.4s  avg_loss=0.006764  lr=1.133e-03

Error displaying widget: model not found

Validation loss: 0.002696

Error displaying widget: model not found

Epoch 15 Step 20/506  loss=0.006535  lr=1.119e-03
Epoch 15 Step 40/506  loss=0.006485  lr=1.105e-03
Epoch 15 Step 60/506  loss=0.006485  lr=1.092e-03
Epoch 15 Step 80/506  loss=0.006479  lr=1.078e-03
Epoch 15 Step 100/506  loss=0.006493  lr=1.065e-03
Epoch 15 Step 120/506  loss=0.006502  lr=1.052e-03
Epoch 15 Step 140/506  loss=0.006518  lr=1.038e-03
Epoch 15 Step 160/506  loss=0.006542  lr=1.025e-03
Epoch 15 Step 180/506  loss=0.006546  lr=1.012e-03
Epoch 15 Step 200/506  loss=0.006540  lr=9.989e-04
Epoch 15 Step 220/506  loss=0.006545  lr=9.858e-04
Epoch 15 Step 240/506  loss=0.006548  lr=9.729e-04
Epoch 15 Step 260/506  loss=0.006544  lr=9.600e-04
Epoch 15 Step 280/506  loss=0.006544  lr=9.471e-04
Epoch 15 Step 300/506  loss=0.006536  lr=9.344e-04
Epoch 15 Step 320/506  loss=0.006534  lr=9.216e-04
Epoch 15 Step 340/506  loss=0.006528  lr=9.090e-04
Epoch 15 Step 360/506  loss=0.006526  lr=8.964e-04
Epoch 15 Step 380/506  loss=0.006526  lr=8.839e-04
Epoch 15 Step 400/506  loss=0.006523  lr=8.715e-04
Epoch 15 Step 420/506  loss=0.006524  lr=8.591e-04
Epoch 15 Step 440/506  loss=0.006529  lr=8.469e-04
Epoch 15 Step 460/506  loss=0.006529  lr=8.346e-04
Epoch 15 Step 480/506  loss=0.006527  lr=8.225e-04
Epoch 15 Step 500/506  loss=0.006525  lr=8.104e-04
Epoch 15 completed in 645.5s  avg_loss=0.006523  lr=8.068e-04

Error displaying widget: model not found

Validation loss: 0.002444

Error displaying widget: model not found

Epoch 16 Step 20/506  loss=0.006365  lr=7.948e-04
Epoch 16 Step 40/506  loss=0.006341  lr=7.829e-04
Epoch 16 Step 60/506  loss=0.006351  lr=7.711e-04
Epoch 16 Step 80/506  loss=0.006356  lr=7.593e-04
Epoch 16 Step 100/506  loss=0.006367  lr=7.476e-04
Epoch 16 Step 120/506  loss=0.006360  lr=7.360e-04
Epoch 16 Step 140/506  loss=0.006344  lr=7.245e-04
Epoch 16 Step 160/506  loss=0.006346  lr=7.130e-04
Epoch 16 Step 180/506  loss=0.006346  lr=7.016e-04
Epoch 16 Step 200/506  loss=0.006340  lr=6.903e-04
Epoch 16 Step 220/506  loss=0.006346  lr=6.791e-04
Epoch 16 Step 240/506  loss=0.006346  lr=6.679e-04
Epoch 16 Step 260/506  loss=0.006346  lr=6.568e-04
Epoch 16 Step 280/506  loss=0.006348  lr=6.458e-04
Epoch 16 Step 300/506  loss=0.006340  lr=6.349e-04
Epoch 16 Step 320/506  loss=0.006342  lr=6.241e-04
Epoch 16 Step 340/506  loss=0.006341  lr=6.133e-04
Epoch 16 Step 360/506  loss=0.006346  lr=6.026e-04
Epoch 16 Step 380/506  loss=0.006345  lr=5.920e-04
Epoch 16 Step 400/506  loss=0.006342  lr=5.815e-04
Epoch 16 Step 420/506  loss=0.006341  lr=5.711e-04
Epoch 16 Step 440/506  loss=0.006337  lr=5.607e-04
Epoch 16 Step 460/506  loss=0.006334  lr=5.505e-04
Epoch 16 Step 480/506  loss=0.006332  lr=5.403e-04
Epoch 16 Step 500/506  loss=0.006329  lr=5.302e-04
Epoch 16 completed in 644.9s  avg_loss=0.006329  lr=5.271e-04

Error displaying widget: model not found

Validation loss: 0.002433

Error displaying widget: model not found

Epoch 17 Step 20/506  loss=0.006256  lr=5.172e-04
Epoch 17 Step 40/506  loss=0.006214  lr=5.072e-04
